url,is_phishing
http://apple-icloud.com-device-locked.info,1
http://myaccount-netflixbilling.com,1
http://secure-paypal.com.verifyaccount.net,1
http://login.microsoftonline.com.secureserver.pw,1
http://recover-account-verification.info,1
http://amazon-order-update.com,1
http://appleid.apple.com.signin.redirector.xyz,1
http://online-banking-secure.com,1
http://googledoc-share.com,1
http://facebook-security-alert.net,1
http://verify-your-account-today.com,1
http://payment-confirm-required.net,1
http://banking-login-secure.info,1
http://dropbox-document-share.com,1
http://ebay-motors-payment.com,1
http://chase-secure-login.com,1
http://apple-support-service.info,1
http://instagram-verify-account.com,1
http://linkedin-connection-request.net,1
